Snippet ID,Before Dataset Path,After Dataset Path,Before SHA256,After SHA256,Accepted Study Row Count,Accepted Study Row IDs,Recommendation Group,Identical Before After
so_10195366_block_2,dataset/before_agress_yes/so_10195366_block_2.java,dataset/after_agress_yes/so_10195366_block_2.java,a58727dc729e40407ea5156e7ea07f7e9e4410cbfe7533d3bce7b5153b168b2a,55731e677712f23637783e8065ec9b159d7ae850f6e8c3af573e2d4c44d951bb,4,6;7;8;102,Improving Code,NO
so_10599247_block_2,dataset/before_agress_yes/so_10599247_block_2.java,dataset/after_agress_yes/so_10599247_block_2.java,ecde3723d4598b1ca0eed48fe47ce655c50919139d253129621d2c633193182e,eb38dae6094bdd8bbfea30cedc56a12bc9a1bbf110e34f5d05a39342012d1e3d,1,234,Improving Code,NO
so_10967469_block_2,dataset/before_agress_yes/so_10967469_block_2.java,dataset/after_agress_yes/so_10967469_block_2.java,bcfa75ce673f8f6c3249005ad31b32c7e1a0e753295dd6561eddb4820ab7eb3b,3e7c4f1fe341b28f8fb308d941f5cb447f4d319342bdc4042123583b93fb5bde,2,397;676,Improving Code,NO
so_11838438_block_2,dataset/before_agress_yes/so_11838438_block_2.java,dataset/after_agress_yes/so_11838438_block_2.java,582f83d6a63f1d916136bcd0f1f1cf2201f4dc637c41abe1afc9c01b240b2245,d80f0b1cc81680256ce8ae1bd9cd8e36f35fbfb276cb1deff70e302692888f16,1,271,Improving Code,NO
so_12738229_block_2,dataset/before_agress_yes/so_12738229_block_2.java,dataset/after_agress_yes/so_12738229_block_2.java,e59eefc203075710a16d2ff905e25a8455e7f0647be8442e42cd1c8f6baa219e,8addf2217f2455522b6f349f1e21ced79da062b232dd2cb01dfbd2bf54569e8e,7,89;90;91;92;104;473;667,Improving Code,NO
so_13462440_block_6,dataset/before_agress_yes/so_13462440_block_6.java,dataset/after_agress_yes/so_13462440_block_6.java,ba4b890c0b23ed577f6be46b7453b403884e0c723031b71daed72ff266690e5b,90f3828c19535b9cb830b9cf7cd1ef748f7d7d3b3cf752d1d6d0fd40e1553787,6,45;141;295;356;440;751,Improving Code,NO
so_13558161_block_6,dataset/before_agress_yes/so_13558161_block_6.java,dataset/after_agress_yes/so_13558161_block_6.java,ab1319300053bc600d281c7ad28e5b8645f3570033b8856aabd03b33e1351368,ab1319300053bc600d281c7ad28e5b8645f3570033b8856aabd03b33e1351368,1,584,Improving Code,YES
so_13956092_block_2,dataset/before_agress_yes/so_13956092_block_2.java,dataset/after_agress_yes/so_13956092_block_2.java,83294dd1d33dd4d9c41a1c5931e6db6ac3be1b370833fb572dcfa4e9279d96b1,fc96e321b959ca9d374fd452a60161f81cd89f8a76e95eb7e7a43f37d0c8821e,1,772,Improving Code,NO
so_14676464_block_2,dataset/before_agress_yes/so_14676464_block_2.java,dataset/after_agress_yes/so_14676464_block_2.java,15dc424b300354da913e231feb0a2095fafcec950a5b62dc58522962ec7c251d,a238d91856fd9ff5856afef1a10724fc97d14a06e3ebbb6bd3603f6a21eef9c8,7,729;730;731;732;733;734;736,Improving Code,NO
so_15160629_block_2,dataset/before_agress_yes/so_15160629_block_2.java,dataset/after_agress_yes/so_15160629_block_2.java,5bea1084013273542bacf5bfd8f505b4966f43ee0800ea28a749d83a0bd26764,c979d4926de0d59d1ddaabd47a4e458dbc5fe833b0899625f1b007f1ac2d6531,8,285;286;287;288;290;291;292;293,Improving Code,NO
so_16114563_block_2,dataset/before_agress_yes/so_16114563_block_2.java,dataset/after_agress_yes/so_16114563_block_2.java,2844fa7a9e8c8126e9c2412078579387b26316453e6d0a52cd154daac2a1807b,9c3ff2c088e95a5e0bee371e11fed504a014246f7ae1d650ba823fb95893af6a,1,513,Improving Code,NO
so_16799135_block_10,dataset/before_agress_yes/so_16799135_block_10.java,dataset/after_agress_yes/so_16799135_block_10.java,b12229d17fef9aacb11c9f5c8ef437018af7c1106c85e26950e4e34a497e3664,b12229d17fef9aacb11c9f5c8ef437018af7c1106c85e26950e4e34a497e3664,6,50;70;257;300;334;361,Improving Code,YES
so_18454342_block_2,dataset/before_agress_yes/so_18454342_block_2.java,dataset/after_agress_yes/so_18454342_block_2.java,9bffd9220efd097d6c6eeffc42b02aaeee8b7fb0f441e1e8645ad2d3adce504c,1ca5d870aac777c6deff9544dd4f00c6711d9851ed9941b26b178510f91e1747,1,19,Improving Code,NO
so_189739_block_2,dataset/before_agress_yes/so_189739_block_2.java,dataset/after_agress_yes/so_189739_block_2.java,9b2836e1794195f35822446c496d7fcf4dd14bec49720253396dfe2a506402d6,11436f23a99c3d71791c7a2d0578732507c161d62a393a42b6456877a666d3f0,1,246,Improving Code,NO
so_19340685_block_2,dataset/before_agress_yes/so_19340685_block_2.java,dataset/after_agress_yes/so_19340685_block_2.java,18f3502e965b0327abf84e26ff748cb15baea7226c41bd6b0f5b2f1234640f84,866130c91aef2d639837286e6e518742340778cd0724912f1a922552d6396505,2,248;322,Improving Code,NO
so_2001205_block_2,dataset/before_agress_yes/so_2001205_block_2.java,dataset/after_agress_yes/so_2001205_block_2.java,aaa264937c850ac5403c31ca2926c0777bbb8cfdca20bfe1e0f6f532657e36fd,810722e4e524af3157ac1c3311791f45358ba57777622bb342a88ea3e5161288,1,405,Improving Code,NO
so_20274776_block_2,dataset/before_agress_yes/so_20274776_block_2.java,dataset/after_agress_yes/so_20274776_block_2.java,e7ba5c1dc136da6b90f33e59321e1ae94565be3d49fdfda99c96fe5f3cfa58ca,6ba55751d71bed7221760a0b9460341fcff8b6245c82ecf56f57310458e27eb9,2,162;163,Improving Code,NO
so_20276324_block_2,dataset/before_agress_yes/so_20276324_block_2.java,dataset/after_agress_yes/so_20276324_block_2.java,5695a22933971fa6072f5c54889aff3df36731cfb90c3305121d23500678527f,7a32897fc8d38d33162eb25d6527cc757a05b62960943ace45a2964e70113a1a,1,582,Improving Code,NO
so_20680556_block_2,dataset/before_agress_yes/so_20680556_block_2.java,dataset/after_agress_yes/so_20680556_block_2.java,68d072323601f5f89eca096a0dfde9b111cecf3ecf7a0851368f9ebedc6af261,68a5207892886935e40757f6cf97c554a337da46cfa3ecceb714722eab2b2da6,4,268;788;789;790,Improving Code,NO
so_20765715_block_2,dataset/before_agress_yes/so_20765715_block_2.java,dataset/after_agress_yes/so_20765715_block_2.java,bf296cae117281ecc5daea7d41cc53ab03d5dd43f9459459d65d978b02dc8141,9c11bec2ebf3df22607f3bba1c04f996dbcbbda24ad444021b5a53efb91cc846,3,99;100;624,Improving Code,NO
so_2086792_block_2,dataset/before_agress_yes/so_2086792_block_2.java,dataset/after_agress_yes/so_2086792_block_2.java,d7988a80c064e77b766123e644c5475e9e5d4f3f17a458e0d11f9303c3fa50d3,5cc551aba120d7079b09463d3eb9842eda2d1b649ed842fe8ec771846f9e63e5,1,211,Improving Code,NO
so_21178275_block_2,dataset/before_agress_yes/so_21178275_block_2.java,dataset/after_agress_yes/so_21178275_block_2.java,39bf7510ef797de5f896f75d3e4207a20dc2841132c0f40db98c9b96a44fb03c,63a824538e0afb79765ed5571f66811ce5368753593b967b6d1bf8fc7bcd6a02,1,497,Improving Code,NO
so_2180534_block_2,dataset/before_agress_yes/so_2180534_block_2.java,dataset/after_agress_yes/so_2180534_block_2.java,b98de6e142579248de3a50d92406f61246fd157c32b1a7cb6af88ba8b8e72651,768112a15fb64d9934efb45049d46f5972258baf290e6a6ca4e0933d19ed3eb8,1,221,Bug Fixing,NO
so_2275596_block_2,dataset/before_agress_yes/so_2275596_block_2.java,dataset/after_agress_yes/so_2275596_block_2.java,953f9b5186e2ed017544c8436201c5dc357668688a8f74225aa27c62728e8a05,ecde1051f9257bacb3f51c9fa8c88b57001ecf3cbdc632a56bb7d98890d031e0,1,781,Bug Fixing,NO
so_22968559_block_2,dataset/before_agress_yes/so_22968559_block_2.java,dataset/after_agress_yes/so_22968559_block_2.java,5ad243d2d5838c7fbcdd17d0905488ba4bd673e140ea5d4f8d4e82d2ef55dd8c,507fa98bec558749f98e408dee155b344f765828d72463f31ea955593bbd2931,1,222,Improving Code,NO
so_2325407_block_2,dataset/before_agress_yes/so_2325407_block_2.java,dataset/after_agress_yes/so_2325407_block_2.java,bd05ca702197c9a62be41fef9a59be69f2b38e0963d9f31e322f6ceab55f02f7,8933a1f1f1ab6071d6aedbb2e55e1d65bca9e84eeb43a994505c08a83b5268f2,1,538,Bug Fixing,NO
so_23839705_block_2,dataset/before_agress_yes/so_23839705_block_2.java,dataset/after_agress_yes/so_23839705_block_2.java,a0d2824f566134462ffb703279f18bd3aa507f4ebc1257c9dc9e0bb4c57499ec,ad95dc627aad9881c9047f1b2e7081fd6ab03f45629b7161de996ee6c7f1a7a9,1,206,Improving Code,NO
so_23916259_block_2,dataset/before_agress_yes/so_23916259_block_2.java,dataset/after_agress_yes/so_23916259_block_2.java,c3154c769181c65d9a67dd258ff95514d3f8d6c1b1f99298daeb1dafa19bc476,aba08f51e26d122d794a9519fb0d008afe343351bab25c96ea2402dcaa992146,1,326,Improving Code,NO
so_24127188_block_2,dataset/before_agress_yes/so_24127188_block_2.java,dataset/after_agress_yes/so_24127188_block_2.java,65660651ad735777bbe3dbfdbef6581efdbaf72a62b2e7f4e11345ba72e8cfc4,9c613d25f05a3f7b48a39ccdb5a2a629fa527c6ff199f86249eeef159d142f85,17,27;28;29;30;260;261;262;347;657;658;659;661;662;663;690;691;692,Improving Code,NO
so_25985720_block_14,dataset/before_agress_yes/so_25985720_block_14.java,dataset/after_agress_yes/so_25985720_block_14.java,7e79b31ff297e251c046bbde61abf31949e9bd705cd72a44e3162a0381b27b22,f9d527dce981b6e07b9c1a042661b0aad3a84b94651f494e0d71549617fbb07f,2,113;114,Improving Code,NO
so_26046107_block_2,dataset/before_agress_yes/so_26046107_block_2.java,dataset/after_agress_yes/so_26046107_block_2.java,7a2257e26bff705fd5258652335fc4995078c83d444c1581ce2113c9bb9e502a,9a9ebc6929de73b734ea7537467b7b22a0cea235cfd4de8efe9fda14114c2a43,1,244,Improving Code,NO
so_27436796_block_2,dataset/before_agress_yes/so_27436796_block_2.java,dataset/after_agress_yes/so_27436796_block_2.java,12a3665fadbf965def226e763166563cfa5a9c7fb9b7962a4901bf980c53f4a5,013fc74b4b1e50d7151fc65fefa8cc44da4b053589a2734d54ef3a8a8aba2240,3,111;414;726,Improving Code,NO
so_27437289_block_16,dataset/before_agress_yes/so_27437289_block_16.java,dataset/after_agress_yes/so_27437289_block_16.java,08ff354c079c364cae621c4d3b136e43a5fe3a8f225858b3cbcc52fa89e994dd,a51f3a6271d9f5cad64aebebb1134d2c56535da607b6cef83fdad324daf4264a,1,238,Improving Code,NO
so_27469652_block_4,dataset/before_agress_yes/so_27469652_block_4.java,dataset/after_agress_yes/so_27469652_block_4.java,16d932144839702d67d77621fa2764cc56c5b23e23a0bb5f5b5c8c887d9ca08f,1f5882d62501f2759ef125e7bb6c83d9d1e276ae3ce86217990c51faf038bfa8,1,486,Improving Code,NO
so_28329032_block_6,dataset/before_agress_yes/so_28329032_block_6.java,dataset/after_agress_yes/so_28329032_block_6.java,63bc67f141e9e119774b6d46b9acd4ea93d08a09f2b8f41d5321a384f31e6754,63bc67f141e9e119774b6d46b9acd4ea93d08a09f2b8f41d5321a384f31e6754,1,329,Improving Code,YES
so_28458368_block_4,dataset/before_agress_yes/so_28458368_block_4.java,dataset/after_agress_yes/so_28458368_block_4.java,0b652644da05da93327d971da834fee2bd5198a68ba6e51937e471c0da926d7d,65a9474ff52e3acd8d30f6f043ffa03ecb81dbd5093760740a1bc1eb6a5dff98,1,101,Improving Code,NO
so_28901180_block_2,dataset/before_agress_yes/so_28901180_block_2.java,dataset/after_agress_yes/so_28901180_block_2.java,cc7686211bec754143607a2cff97ba9f5d3f0f02a9940bbdd3134806b544818f,e831767033c0679cf09d9c5fc8b8893d0c670e32d52e198ea028f8694600a728,1,520,Improving Code,NO
