Snippet ID,Stack Overflow Question ID,Code Block Number,Status,Exclusion Reason,Before Dataset Path,After Dataset Path,Original Source Path,After Source Path,After Selection Rule,Selected Paths In Study,Before SHA256,After SHA256,Before Lines,After Lines,Before Bytes,After Bytes,Identical Before After,Study Pair Count,Study Pair IDs,Accepted Pair Count,Rejected Pair Count,Validation Group,Recommendation Types
so_56815_block_2,56815,2,ELIGIBLE,"",dataset/before/so_56815_block_2.java,dataset/after/so_56815_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/56815/56815_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/56815/56815_2_recent.java,RECENT_SNAPSHOT,56815/56815_2_recent.java,a0105f36231b68660f12b424a1c987311a93e10650980a0c33816b16ff371cba,b36be72b0b6cb23bf907e34bed19d1a50c9dd2b79438feb618435991e0e31902,8,15,330,656,NO,1,130,1,0,ALL_ACCEPTED,Improving Code
so_138950_block_6,138950,6,ELIGIBLE,"",dataset/before/so_138950_block_6.java,dataset/after/so_138950_block_6.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/138950/138950_6_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/138950/138950_6_recent.java,RECENT_SNAPSHOT,138950/138950_6_recent.java,0879fae1b4aa4ad12e7331eabbe6fdf23a9798d64309b2aeb25175c3755a6c55,710605767779b4811ee46c88277810de476d7794e3090b28a7f0909b60272619,40,32,1270,1098,NO,2,531;675,0,2,ALL_REJECTED,""
so_189739_block_2,189739,2,ELIGIBLE,"",dataset/before/so_189739_block_2.java,dataset/after/so_189739_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/189739/189739_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/189739/189739_2_recent.java,RECENT_SNAPSHOT,189739/189739_2_recent.java,9b2836e1794195f35822446c496d7fcf4dd14bec49720253396dfe2a506402d6,11436f23a99c3d71791c7a2d0578732507c161d62a393a42b6456877a666d3f0,14,14,510,450,NO,1,246,1,0,ALL_ACCEPTED,Improving Code
so_359634_block_2,359634,2,ELIGIBLE,"",dataset/before/so_359634_block_2.java,dataset/after/so_359634_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/359634/359634_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/359634/359634_2_recent.java,RECENT_SNAPSHOT,359634/359634_2_recent.java,4f978fabff5a6c65dc3b1e1626e7a3b076e09639fa01fd0d59f681312f7dde5a,66e99e0d8b7540339ac9cb804e9ea99ad7ba28fa9bfd17bc8fa37c24f7662a9d,31,46,705,1158,NO,2,24;784,2,0,ALL_ACCEPTED,Bug Fixing
so_453067_block_2,453067,2,ELIGIBLE,"",dataset/before/so_453067_block_2.java,dataset/after/so_453067_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/453067/453067_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/453067/453067_2_recent.java,RECENT_SNAPSHOT,453067/453067_2_recent.java,bec6f00ca9ec803d02d0496fe6b4c00928b98b01818bb04e97a263c729ba01a6,50adf61ebdca4f0974f96d3657ce7cc2318aba152f1e396352f03c105a987f42,11,20,323,679,NO,4,668;474;352;780,2,2,MIXED,Improving Code
so_745987_block_2,745987,2,ELIGIBLE,"",dataset/before/so_745987_block_2.java,dataset/after/so_745987_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/745987/745987_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/745987/745987_2_recent.java,RECENT_SNAPSHOT,745987/745987_2_recent.java,054123c2e04b9d55edb68736c688a3f1d472b931648f9beae555cdb099dc8e49,3823fcb945cc95da64ac3156d53ce0096923ff36395efd0333c32e0cecb9a7d4,51,148,1905,5975,NO,1,217,0,1,ALL_REJECTED,""
so_801987_block_2,801987,2,ELIGIBLE,"",dataset/before/so_801987_block_2.java,dataset/after/so_801987_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/801987/801987_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/801987/801987_2_recent.java,RECENT_SNAPSHOT,801987/801987_2_recent.java,b11aac71ad88fa743a8f287f44ad420a5f8d9ed9d84259b0cf23a4b7d94fd476,3d93710f7e16f55fe040adaa3d436bf1ca1e9d216083b0f5a892ac46e6c3d7a1,25,26,907,979,NO,1,688,0,1,ALL_REJECTED,""
so_1520212_block_2,1520212,2,ELIGIBLE,"",dataset/before/so_1520212_block_2.java,dataset/after/so_1520212_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/1520212/1520212_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/1520212/1520212_2_recent.java,RECENT_SNAPSHOT,1520212/1520212_2_recent.java,a7e579365e9d270bcfae0fc8c654d9260b62d796157607ce4b924be1d14ff4ae,74dfa681c9e9c0be8d11e79699dcad027d18f557beb2c0e06226913eb4f15bc8,30,32,748,884,NO,4,355;83;394;417,0,4,ALL_REJECTED,""
so_2001205_block_2,2001205,2,ELIGIBLE,"",dataset/before/so_2001205_block_2.java,dataset/after/so_2001205_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2001205/2001205_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2001205/2001205_2_recent.java,RECENT_SNAPSHOT,2001205/2001205_2_recent.java,aaa264937c850ac5403c31ca2926c0777bbb8cfdca20bfe1e0f6f532657e36fd,810722e4e524af3157ac1c3311791f45358ba57777622bb342a88ea3e5161288,27,28,858,911,NO,1,405,1,0,ALL_ACCEPTED,Improving Code
so_2086792_block_2,2086792,2,ELIGIBLE,"",dataset/before/so_2086792_block_2.java,dataset/after/so_2086792_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2086792/2086792_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2086792/2086792_2_recent.java,RECENT_SNAPSHOT,2086792/2086792_2_recent.java,d7988a80c064e77b766123e644c5475e9e5d4f3f17a458e0d11f9303c3fa50d3,5cc551aba120d7079b09463d3eb9842eda2d1b649ed842fe8ec771846f9e63e5,19,17,359,313,NO,3,594;211;599,1,2,MIXED,Improving Code
