snippet_id,status,parse_mode,recommendation_group,accepted_study_rows,identical_before_after,before_code_lines,before_findings,before_findings_per_100_lines,after_code_lines,after_findings,after_findings_per_100_lines,delta_findings,delta_findings_per_100_lines,outcome
so_10195366_block_2,ANALYZED,RAW,Improving Code,4,NO,16,0,0.0,16,0,0.0,0,0.0,UNCHANGED
so_10599247_block_2,ANALYZED,RAW,Improving Code,1,NO,14,0,0.0,17,3,17.647058823529413,3,17.647058823529413,WORSENED
so_10967469_block_2,ANALYZED,RAW,Improving Code,2,NO,17,17,100.0,20,17,85.0,0,-15.0,UNCHANGED
so_11838438_block_2,ANALYZED,RAW,Improving Code,1,NO,21,0,0.0,21,0,0.0,0,0.0,UNCHANGED
so_12738229_block_2,ANALYZED,RAW,Improving Code,7,NO,35,0,0.0,36,0,0.0,0,0.0,UNCHANGED
so_13462440_block_6,ANALYZED,RAW,Improving Code,6,NO,86,0,0.0,90,0,0.0,0,0.0,UNCHANGED
so_13558161_block_6,ANALYZED,RAW,Improving Code,1,YES,176,4,2.272727272727273,176,4,2.272727272727273,0,0.0,UNCHANGED
so_13956092_block_2,ANALYZED,RAW,Improving Code,1,NO,19,0,0.0,23,0,0.0,0,0.0,UNCHANGED
so_14676464_block_2,PARSE_EXCLUDED,,Improving Code,7,NO,11,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_15160629_block_2,PARSE_EXCLUDED,,Improving Code,8,NO,21,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_16114563_block_2,ANALYZED,RAW,Improving Code,1,NO,11,0,0.0,36,4,11.11111111111111,4,11.11111111111111,WORSENED
so_16799135_block_10,ANALYZED,RAW,Improving Code,6,YES,21,5,23.80952380952381,21,5,23.80952380952381,0,0.0,UNCHANGED
so_18454342_block_2,ANALYZED,METHOD_BODY,Improving Code,1,NO,16,16,100.0,28,30,107.14285714285714,14,7.142857142857139,WORSENED
so_189739_block_2,ANALYZED,RAW,Improving Code,1,NO,14,0,0.0,14,0,0.0,0,0.0,UNCHANGED
so_19340685_block_2,ANALYZED,RAW,Improving Code,2,NO,29,3,10.344827586206897,16,1,6.25,-2,-4.094827586206897,IMPROVED
so_2001205_block_2,ANALYZED,RAW,Improving Code,1,NO,25,0,0.0,26,0,0.0,0,0.0,UNCHANGED
so_20274776_block_2,ANALYZED,RAW,Improving Code,2,NO,16,1,6.25,23,1,4.3478260869565215,0,-1.9021739130434785,UNCHANGED
so_20276324_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,11,0,0.0,12,0,0.0,0,0.0,UNCHANGED
so_20680556_block_2,ANALYZED,RAW,Improving Code,4,NO,16,0,0.0,15,0,0.0,0,0.0,UNCHANGED
so_20765715_block_2,ANALYZED,RAW,Improving Code,3,NO,19,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_2086792_block_2,ANALYZED,RAW,Improving Code,1,NO,19,18,94.73684210526316,17,16,94.11764705882354,-2,-0.6191950464396285,IMPROVED
so_21178275_block_2,ANALYZED,RAW,Improving Code,1,NO,36,42,116.66666666666667,37,42,113.51351351351352,0,-3.1531531531531556,UNCHANGED
so_2180534_block_2,ANALYZED,RAW,Bug Fixing,1,NO,50,1,2.0,49,0,0.0,-1,-2.0,IMPROVED
so_2275596_block_2,ANALYZED,RAW,Bug Fixing,1,NO,24,0,0.0,29,0,0.0,0,0.0,UNCHANGED
so_22968559_block_2,ANALYZED,METHOD_BODY,Improving Code,1,NO,5,0,0.0,14,0,0.0,0,0.0,UNCHANGED
so_2325407_block_2,ANALYZED,RAW,Bug Fixing,1,NO,11,0,0.0,11,0,0.0,0,0.0,UNCHANGED
so_23839705_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,14,0,0.0,15,0,0.0,0,0.0,UNCHANGED
so_23916259_block_2,ANALYZED,CLASS_MEMBER,Improving Code,1,NO,27,12,44.44444444444444,25,9,36.0,-3,-8.444444444444443,IMPROVED
so_24127188_block_2,ANALYZED,RAW,Improving Code,17,NO,32,0,0.0,32,0,0.0,0,0.0,UNCHANGED
so_25985720_block_14,PARSE_EXCLUDED,,Improving Code,2,NO,15,0,0.0,18,0,0.0,0,0.0,UNCHANGED
so_26046107_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,18,0,0.0,17,0,0.0,0,0.0,UNCHANGED
so_27436796_block_2,ANALYZED,RAW,Improving Code,3,NO,52,0,0.0,51,0,0.0,0,0.0,UNCHANGED
so_27437289_block_16,ANALYZED,RAW,Improving Code,1,NO,11,0,0.0,1,0,0.0,0,0.0,UNCHANGED
so_27469652_block_4,ANALYZED,METHOD_BODY,Improving Code,1,NO,13,14,107.6923076923077,14,14,100.0,0,-7.692307692307693,UNCHANGED
so_28329032_block_6,PARSE_EXCLUDED,,Improving Code,1,YES,10,0,0.0,10,0,0.0,0,0.0,UNCHANGED
so_28458368_block_4,PARSE_EXCLUDED,,Improving Code,1,NO,14,0,0.0,30,0,0.0,0,0.0,UNCHANGED
so_28901180_block_2,ANALYZED,RAW,Improving Code,1,NO,48,0,0.0,48,0,0.0,0,0.0,UNCHANGED
so_29226591_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,25,0,0.0,23,0,0.0,0,0.0,UNCHANGED
so_29230939_block_4,ANALYZED,RAW,Improving Code,4,YES,23,2,8.695652173913043,23,2,8.695652173913043,0,0.0,UNCHANGED
so_29330741_block_6,ANALYZED,RAW,Improving Code,10,YES,13,1,7.6923076923076925,13,1,7.6923076923076925,0,0.0,UNCHANGED
so_29548090_block_4,PARSE_EXCLUDED,,Improving Code,2,NO,62,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_29575747_block_2,ANALYZED,RAW,Improving Code,1,NO,51,43,84.31372549019608,74,22,29.72972972972973,-21,-54.58399576046635,IMPROVED
so_29866762_block_2,ANALYZED,RAW,Improving Code,12,YES,29,1,3.4482758620689653,29,1,3.4482758620689653,0,0.0,UNCHANGED
