file,parse_ok,parse_error,method_count,parameter_count,max_parameters,local_variable_count,if_count,loop_count,switch_count,catch_count,cyclomatic_proxy,max_control_nesting,abrupt_exit_count,try_count,try_with_resources_count,throw_count,empty_catch_count,empty_block_count,null_check_count,exception_handling_count,snippet_id,mode,version
so_10195366_block_2.java,True,,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_10195366_block_2,RAW,before
so_10599247_block_2.java,True,,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_10599247_block_2,RAW,before
so_10967469_block_2.java,True,,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,so_10967469_block_2,RAW,before
so_11838438_block_2.java,True,,1.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_11838438_block_2,RAW,before
so_12738229_block_2.java,True,,3.0,4.0,2.0,8.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_12738229_block_2,RAW,before
so_13462440_block_6.java,True,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,so_13462440_block_6,RAW,before
so_13558161_block_6.java,True,,18.0,11.0,1.0,11.0,12.0,4.0,0.0,4.0,21.0,5.0,2.0,4.0,0.0,0.0,2.0,10.0,0.0,8.0,so_13558161_block_6,RAW,before
so_13956092_block_2.java,True,,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,so_13956092_block_2,RAW,before
so_14676464_block_2.java,True,,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,so_14676464_block_2,RAW,before
so_15160629_block_2.java,False,"(line 15,col 39) Parse error. Found  ""Assert"" <IDENTIFIER>, expected one of  ""!="" ""%"" ""%="" ""&"" ""&&"" ""&="" ""*"" ""*="" ""+"" ""+="" "","" ""-"" ""-="" ""->"" ""/"" ""/="" ""::"" "";"" ""<"" ""<<="" ""<="" ""="" ""=="" "">"" "">="" "">>="" "">>>="" ""?"" ""^"" ""^="" ""instanceof"" ""|"" ""|="" ""||"" Problem stacktrace :    com.github.javaparser.GeneratedJavaParser.generateParseException(GeneratedJavaParser.java:14996)   com.github.javaparser.GeneratedJavaParser.jj_consume_token(GeneratedJavaParser.java:14841)   com.github.javaparser.GeneratedJavaParser.BlockStatement(GeneratedJavaParser.java:6380)   com.github.javaparser.GeneratedJavaParser.Statements(GeneratedJavaParser.java:2993)   com.github.javaparser.GeneratedJavaParser.Block(GeneratedJavaParser.java:6315)   com.github.javaparser.GeneratedJavaParser.TryStatement(GeneratedJavaParser.java:7906)   com.github.javaparser.GeneratedJavaParser.Statement(GeneratedJavaParser.java:6230)   com.github.javaparser.GeneratedJavaParser.BlockStatement(GeneratedJavaParser.java:6444)   com.github.javaparser.GeneratedJavaParser.Statements(GeneratedJavaParser.java:2993)   com.github.javaparser.GeneratedJavaParser.Block(GeneratedJavaParser.java:6315)   com.github.javaparser.GeneratedJavaParser.MethodDeclaration(GeneratedJavaParser.java:2384)   com.github.javaparser.GeneratedJavaParser.ClassOrInterfaceBodyDeclaration(GeneratedJavaParser.java:1975)   com.github.javaparser.GeneratedJavaParser.ClassOrInterfaceBody(GeneratedJavaParser.java:1462)   com.github.javaparser.GeneratedJavaParser.ClassOrInterfaceDeclaration(GeneratedJavaParser.java:704)   com.github.javaparser.GeneratedJavaParser.CompilationUnit(GeneratedJavaParser.java:202)   com.github.javaparser.JavaParser.parse(JavaParser.java:125)   com.github.javaparser.JavaParser.parse(JavaParser.java:227)   SnippetMetricsExtractor.metrics(SnippetMetricsExtractor.java:86)   SnippetMetricsExtractor.lambda$main$1(SnippetMetricsExtractor.java:127)   java.base/java.util.stream.ForEachOps$ForEachOp$OfRef.accept(ForEachOps.java:186)   java.base/java.util.ArrayList.forEach(ArrayList.java:1604)   java.base/java.util.stream.SortedOps$RefSortingSink.end(SortedOps.java:395)   java.base/java.util.stream.Sink$ChainedReference.end(Sink.java:261)   java.base/java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:571)   java.base/java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:560)   java.base/java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:153)   java.base/java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:176)   java.base/java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:265)   java.base/java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:632)   SnippetMetricsExtractor.main(SnippetMetricsExtractor.java:127)",,,,,,,,,,,,,,,,,,,so_15160629_block_2,RAW,before
