recommendation_group,metric,n,before_median,before_iqr,after_median,after_iqr,delta_median,decreased_n,unchanged_n,increased_n,wilcoxon_statistic,wilcoxon_p
Bug Fixing,code_lines,12,13.0,13.75,15.5,21.25,1.0,2,3,7,5.0,0.0390625
Bug Fixing,method_count,12,1.0,0.25,1.0,1.0,0.0,0,10,2,0.0,0.5
Bug Fixing,parameter_count,12,1.0,2.25,1.0,2.25,0.0,0,11,1,0.0,1.0
Bug Fixing,max_parameters,12,1.0,1.25,1.0,1.25,0.0,0,12,0,,
Bug Fixing,local_variable_count,12,2.0,2.0,2.0,2.0,0.0,0,8,4,0.0,0.125
Bug Fixing,if_count,12,1.0,1.0,1.0,1.0,0.0,0,10,2,0.0,0.5
Bug Fixing,loop_count,12,1.0,1.0,1.0,1.0,0.0,0,12,0,,
Bug Fixing,switch_count,12,0.0,0.0,0.0,0.0,0.0,0,12,0,,
Bug Fixing,catch_count,12,0.0,1.0,0.0,1.0,0.0,0,11,1,0.0,1.0
Bug Fixing,cyclomatic_proxy,12,3.0,1.0,3.0,1.25,0.0,0,8,4,0.0,0.125
Bug Fixing,max_control_nesting,12,2.0,1.0,2.0,1.0,0.0,0,11,1,0.0,1.0
Bug Fixing,abrupt_exit_count,12,1.5,2.0,1.5,2.0,0.0,0,11,1,0.0,1.0
Bug Fixing,try_count,12,0.0,1.0,0.0,1.0,0.0,0,12,0,,
Bug Fixing,try_with_resources_count,12,0.0,0.0,0.0,0.0,0.0,0,12,0,,
Bug Fixing,throw_count,12,0.0,0.0,0.0,0.0,0.0,0,12,0,,
Bug Fixing,empty_catch_count,12,0.0,0.0,0.0,0.0,0.0,0,11,1,0.0,1.0
Bug Fixing,empty_block_count,12,0.0,0.0,0.0,0.0,0.0,0,11,1,0.0,1.0
Bug Fixing,null_check_count,12,0.0,0.25,0.0,0.25,0.0,0,12,0,,
Bug Fixing,exception_handling_count,12,0.0,2.0,0.0,2.0,0.0,0,11,1,0.0,1.0
Improving Code,code_lines,65,21.0,20.0,22.0,20.0,1.0,16,16,33,446.0,0.09897963510049479
Improving Code,method_count,65,2.0,2.0,2.0,2.0,0.0,6,46,13,75.0,0.4413337707519531
Improving Code,parameter_count,65,2.0,3.0,2.0,3.0,0.0,7,49,9,51.5,0.433197021484375
Improving Code,max_parameters,65,2.0,1.0,2.0,1.0,0.0,5,56,4,22.5,1.0
Improving Code,local_variable_count,65,3.0,5.0,3.0,5.0,0.0,8,43,14,96.0,0.3369474411010742
Improving Code,if_count,65,1.0,2.0,1.0,2.0,0.0,8,51,6,35.0,0.2957763671875
Improving Code,loop_count,65,0.0,1.0,0.0,1.0,0.0,0,63,2,0.0,0.5
Improving Code,switch_count,65,0.0,0.0,0.0,0.0,0.0,0,65,0,,
Improving Code,catch_count,65,0.0,1.0,0.0,1.0,0.0,3,57,5,13.5,0.640625
Improving Code,cyclomatic_proxy,65,3.0,4.0,3.0,3.0,0.0,9,44,12,113.0,0.945744514465332
Improving Code,max_control_nesting,65,2.0,2.0,2.0,2.0,0.0,6,54,5,29.5,0.8310546875
Improving Code,abrupt_exit_count,65,1.0,2.0,1.0,2.0,0.0,7,44,14,74.0,0.1571340560913086
Improving Code,try_count,65,0.0,1.0,0.0,1.0,0.0,2,57,6,9.0,0.25
Improving Code,try_with_resources_count,65,0.0,0.0,0.0,0.0,0.0,0,64,1,0.0,1.0
Improving Code,throw_count,65,0.0,0.0,0.0,0.0,0.0,1,59,5,6.0,0.4375
Improving Code,empty_catch_count,65,0.0,0.0,0.0,0.0,0.0,1,62,2,2.0,0.75
Improving Code,empty_block_count,65,0.0,0.0,0.0,0.0,0.0,2,61,2,5.0,1.0
Improving Code,null_check_count,65,0.0,1.0,0.0,1.0,0.0,5,59,1,2.5,0.09375
Improving Code,exception_handling_count,65,0.0,2.0,1.0,2.0,0.0,4,53,8,23.5,0.26611328125
