snippet_id,status,parse_mode,accepted_study_rows,recommendation_group,identical_before_after,before_code_lines,before_violations,before_violations_per_100_lines,after_code_lines,after_violations,after_violations_per_100_lines,delta_violations,delta_violations_per_100_lines,outcome
so_10195366_block_2,ANALYZED,CLASS_MEMBER,4,Improving Code,NO,16,0,0.0,16,0,0.0,0,0.0,UNCHANGED
so_10599247_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,14,0,0.0,17,2,11.764705882352942,2,11.764705882352942,WORSENED
so_10967469_block_2,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,17,2,11.764705882352942,20,2,10.0,0,-1.764705882352942,UNCHANGED
so_11838438_block_2,ANALYZED,RAW,1,Improving Code,NO,21,4,19.047619047619047,21,4,19.047619047619047,0,0.0,UNCHANGED
so_12738229_block_2,ANALYZED,RAW,7,Improving Code,NO,35,3,8.571428571428571,36,3,8.333333333333334,0,-0.23809523809523725,UNCHANGED
so_13462440_block_6,ANALYZED,RAW,6,Improving Code,NO,86,1,1.1627906976744187,90,3,3.3333333333333335,2,2.170542635658915,WORSENED
so_13558161_block_6,ANALYZED,RAW,1,Improving Code,YES,176,16,9.090909090909092,176,16,9.090909090909092,0,0.0,UNCHANGED
so_13956092_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,19,0,0.0,23,0,0.0,0,0.0,UNCHANGED
so_14676464_block_2,PARSE_EXCLUDED,,7,Improving Code,NO,11,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_15160629_block_2,PARSE_EXCLUDED,,8,Improving Code,NO,21,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_16114563_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,11,1,9.090909090909092,36,4,11.11111111111111,3,2.020202020202019,WORSENED
so_16799135_block_10,ANALYZED,CLASS_MEMBER,6,Improving Code,YES,21,6,28.571428571428573,21,6,28.571428571428573,0,0.0,UNCHANGED
so_18454342_block_2,ANALYZED,METHOD_BODY,1,Improving Code,NO,16,0,0.0,28,1,3.5714285714285716,1,3.5714285714285716,WORSENED
so_189739_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,14,1,7.142857142857143,14,1,7.142857142857143,0,0.0,UNCHANGED
so_19340685_block_2,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,29,4,13.793103448275861,16,1,6.25,-3,-7.543103448275861,IMPROVED
so_2001205_block_2,ANALYZED,RAW,1,Improving Code,NO,25,0,0.0,26,0,0.0,0,0.0,UNCHANGED
so_20274776_block_2,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,16,2,12.5,23,3,13.043478260869565,1,0.5434782608695645,WORSENED
so_20276324_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,11,0,0.0,12,0,0.0,0,0.0,UNCHANGED
so_20680556_block_2,ANALYZED,RAW,4,Improving Code,NO,16,0,0.0,15,0,0.0,0,0.0,UNCHANGED
so_20765715_block_2,ANALYZED,CLASS_MEMBER,3,Improving Code,NO,19,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_2086792_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,19,3,15.789473684210526,17,2,11.764705882352942,-1,-4.024767801857584,IMPROVED
so_21178275_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,36,2,5.555555555555555,37,2,5.405405405405405,0,-0.1501501501501501,UNCHANGED
so_2180534_block_2,ANALYZED,CLASS_MEMBER,1,Bug Fixing,NO,50,2,4.0,49,0,0.0,-2,-4.0,IMPROVED
so_2275596_block_2,ANALYZED,RAW,1,Bug Fixing,NO,24,4,16.666666666666668,29,5,17.24137931034483,1,0.5747126436781613,WORSENED
so_22968559_block_2,ANALYZED,METHOD_BODY,1,Improving Code,NO,5,1,20.0,14,0,0.0,-1,-20.0,IMPROVED
so_2325407_block_2,ANALYZED,CLASS_MEMBER,1,Bug Fixing,NO,11,0,0.0,11,0,0.0,0,0.0,UNCHANGED
so_23839705_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,14,0,0.0,15,0,0.0,0,0.0,UNCHANGED
so_23916259_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,27,2,7.407407407407407,25,2,8.0,0,0.5925925925925926,UNCHANGED
so_24127188_block_2,ANALYZED,RAW,17,Improving Code,NO,32,1,3.125,32,2,6.25,1,3.125,WORSENED
so_25985720_block_14,PARSE_EXCLUDED,,2,Improving Code,NO,15,0,0.0,18,0,0.0,0,0.0,UNCHANGED
so_26046107_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,18,0,0.0,17,0,0.0,0,0.0,UNCHANGED
so_27436796_block_2,ANALYZED,CLASS_MEMBER,3,Improving Code,NO,52,3,5.769230769230769,51,3,5.882352941176471,0,0.11312217194570184,UNCHANGED
so_27437289_block_16,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,11,0,0.0,1,0,0.0,0,0.0,UNCHANGED
so_27469652_block_4,ANALYZED,METHOD_BODY,1,Improving Code,NO,13,2,15.384615384615385,14,1,7.142857142857143,-1,-8.241758241758241,IMPROVED
so_28329032_block_6,PARSE_EXCLUDED,,1,Improving Code,YES,10,0,0.0,10,0,0.0,0,0.0,UNCHANGED
so_28458368_block_4,PARSE_EXCLUDED,,1,Improving Code,NO,14,0,0.0,30,0,0.0,0,0.0,UNCHANGED
so_28901180_block_2,ANALYZED,RAW,1,Improving Code,NO,48,0,0.0,48,0,0.0,0,0.0,UNCHANGED
so_29226591_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,25,0,0.0,23,0,0.0,0,0.0,UNCHANGED
so_29230939_block_4,ANALYZED,CLASS_MEMBER,4,Improving Code,YES,23,1,4.3478260869565215,23,1,4.3478260869565215,0,0.0,UNCHANGED
so_29330741_block_6,ANALYZED,CLASS_MEMBER,10,Improving Code,YES,13,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_29548090_block_4,PARSE_EXCLUDED,,2,Improving Code,NO,62,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_29575747_block_2,ANALYZED,RAW,1,Improving Code,NO,51,12,23.529411764705884,74,18,24.324324324324323,6,0.7949125596184388,WORSENED
so_29866762_block_2,ANALYZED,CLASS_MEMBER,12,Improving Code,YES,29,2,6.896551724137931,29,2,6.896551724137931,0,0.0,UNCHANGED
so_30952083_block_2,PARSE_EXCLUDED,,1,Bug Fixing,NO,24,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_31868761_block_4,ANALYZED,CLASS_MEMBER,1,Improving Code,YES,12,0,0.0,12,0,0.0,0,0.0,UNCHANGED
