snippet_id,version,mode,message
so_10195366_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_10195366_block_2.java' at line 2, column 16: Encountered <IDENTIFIER: ""String"">. Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_10599247_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_10599247_block_2.java' at line 1, column 14: Encountered <IDENTIFIER: ""Date"">. Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_10967469_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_10967469_block_2.java' at line 1, column 16: Encountered ""void"". Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_13956092_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_13956092_block_2.java' at line 2, column 15: Encountered ""void"". Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_14676464_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_14676464_block_2.java' at line 1, column 12: Encountered ""void"". Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_15160629_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_15160629_block_2.java' at line 16, column 21: Encountered <IDENTIFIER: ""Assert"">. Was expecting one of:     ""instanceof"" ...     "";"" ...     "","" ...     ""="" ...     ""<"" ...     ""?"" ...     ""=="" ...     ""<="" ...     "">="" ...     ""!="" ...     ""||"" ...     ""&&"" ...     ""++"" ...     ""--"" ...     ""+"" ...     ""-"" ...     ""*"" ...     ""/"" ...     ""&"" ...     ""|"" ...     ""^"" ...     ""%"" ...     ""+="" ...     ""-="" ...     ""*="" ...     ""/="" ...     ""&="" ...     ""|="" ...     ""^="" ...     ""%="" ...     ""<<="" ...     "">>="" ...     "">>>="" ...     "">"" ..."
so_16114563_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_16114563_block_2.java' at line 1, column 19: Encountered ""boolean"". Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_16799135_block_10,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_16799135_block_10.java' at line 1, column 13: Encountered ""void"". Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_18454342_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_18454342_block_2.java' at line 1, column 9: Encountered <IDENTIFIER: ""Path"">. Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
so_189739_block_2,before,RAW,"ParseException: Parse exception in file '/Users/chaiyong/Downloads/do_not_delete/so-edit-additional-prs/before-after/work/pmd/inputs/RAW/before/so_189739_block_2.java' at line 1, column 19: Encountered ""void"". Was expecting one of:     ""class"" ...     ""interface"" ...     ""@"" ..."
