rule,removed_histories,introduced_histories,preserved_histories,absent_histories,net_removed
AssignmentInOperand,3,1,7,66,2
UnusedLocalVariable,3,1,3,70,2
AvoidDeeplyNestedIfStmts,2,1,1,73,1
AvoidReassigningParameters,1,0,3,73,1
SimplifyBooleanExpressions,1,0,1,75,1
IdenticalCatchBranches,1,1,1,74,0
UnnecessarySemicolon,1,1,1,74,0
UseStringBufferForStringAppends,1,1,1,74,0
AvoidBranchingStatementAsLastInLoop,0,0,1,76,0
CloseResource,0,0,2,75,0
CollapsibleIfStatements,0,0,2,75,0
ConsecutiveAppendsShouldReuse,0,0,1,76,0
EmptyControlStatement,0,0,2,75,0
PreserveStackTrace,0,0,1,76,0
UseTryWithResources,0,0,3,74,0
VariableCanBeInlined,0,0,2,75,0
AppendCharacterWithChar,0,1,1,75,-1
AvoidRethrowingException,0,1,0,76,-1
CompareObjectsWithEquals,0,1,0,76,-1
CyclomaticComplexity,0,1,1,75,-1
EmptyCatchBlock,0,1,7,69,-1
ExceptionAsFlowControl,0,1,0,76,-1
SimplifyBooleanReturns,0,1,1,75,-1
AvoidCatchingGenericException,0,2,8,67,-2
ControlStatementBraces,0,2,17,58,-2
UnusedAssignment,0,2,5,70,-2
AvoidPrintStackTrace,0,3,6,68,-3
CognitiveComplexity,0,3,1,73,-3
SystemPrintln,0,3,12,62,-3
