snippet_id,status,parse_mode,accepted_study_rows,recommendation_group,identical_before_after,before_code_lines,before_violations,before_violations_per_100_lines,before_bug_risk_violations,before_bug_risk_violations_per_100_lines,before_performance_violations,before_performance_violations_per_100_lines,after_code_lines,after_violations,after_violations_per_100_lines,after_bug_risk_violations,after_bug_risk_violations_per_100_lines,after_performance_violations,after_performance_violations_per_100_lines,delta_violations,delta_violations_per_100_lines,delta_bug_risk_violations,delta_bug_risk_violations_per_100_lines,bug_risk_outcome,delta_performance_violations,delta_performance_violations_per_100_lines,performance_outcome,outcome
so_10195366_block_2,ANALYZED,CLASS_MEMBER,4,Improving Code,NO,16,0,0.0,0,0.0,0,0.0,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_10599247_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,14,0,0.0,0,0.0,0,0.0,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_10967469_block_2,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,17,0,0.0,0,0.0,0,0.0,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_11838438_block_2,ANALYZED,RAW,1,Improving Code,NO,21,0,0.0,0,0.0,0,0.0,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_12738229_block_2,ANALYZED,RAW,7,Improving Code,NO,35,0,0.0,0,0.0,0,0.0,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_13462440_block_6,ANALYZED,RAW,6,Improving Code,NO,86,1,1.1627906976744187,1,1.1627906976744187,0,0.0,90,1,1.1111111111111112,1,1.1111111111111112,0,0.0,0,-0.05167958656330751,0,-0.05167958656330751,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_13558161_block_6,ANALYZED,RAW,1,Improving Code,YES,176,2,1.1363636363636365,2,1.1363636363636365,0,0.0,176,2,1.1363636363636365,2,1.1363636363636365,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_13956092_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,19,0,0.0,0,0.0,0,0.0,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_14676464_block_2,PARSE_EXCLUDED,,7,Improving Code,NO,11,0,0.0,0,0.0,0,0.0,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
so_15160629_block_2,PARSE_EXCLUDED,,8,Improving Code,NO,21,0,0.0,0,0.0,0,0.0,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,UNCHANGED,0,0.0,UNCHANGED,UNCHANGED
