snippet_id,version,mode,rule,ruleset,priority,analysis_dimension,begin_line,end_line,message,external_info_url
so_13462440_block_6,before,RAW,IdenticalCatchBranches,Code Style,3,bug_risk,41,43,'catch' branch identical to 'InterruptedException' branch,https://docs.pmd-code.org/snapshot/pmd_rules_java_codestyle.html#identicalcatchbranches
so_13558161_block_6,before,RAW,EmptyCatchBlock,Error Prone,3,bug_risk,40,41,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_13558161_block_6,before,RAW,EmptyCatchBlock,Error Prone,3,bug_risk,109,110,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_2275596_block_2,before,RAW,CloseResource,Error Prone,3,bug_risk,12,12,Ensure that resources like this ExecutorService object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_24127188_block_2,before,RAW,PreserveStackTrace,Best Practices,3,bug_risk,19,19,Thrown exception does not preserve the stack trace of exception 'e' on all code paths,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#preservestacktrace
so_29575747_block_2,before,RAW,CloseResource,Error Prone,3,bug_risk,22,22,Ensure that resources like this FileInputStream object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_29575747_block_2,before,RAW,UseTryWithResources,Best Practices,3,bug_risk,27,55,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_29575747_block_2,before,RAW,UseTryWithResources,Best Practices,3,bug_risk,31,50,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_33270545_block_2,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,12,12,Avoid assignment to len in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_34174309_block_2,before,RAW,UseTryWithResources,Best Practices,3,bug_risk,29,45,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_34174309_block_2,before,RAW,UseTryWithResources,Best Practices,3,bug_risk,61,75,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_3870210_block_4,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,10,10,Avoid assignment to next in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
