id,recommendation_file,github_file_url,stackoverflow_url,pr_url,notes
1,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/40056844/40056844_2_recent.java,https://github.com/bcgit/bc-java/blob/main/util/src/test/java/org/bouncycastle/asn1/smime/test/SMIMETest.java,https://stackoverflow.com/a/40056844,https://github.com/bcgit/bc-java/pull/2371,
2,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/52148106/52148106_4_recent.java,https://github.com/lenve/javaeetest/blob/master/MyBlog/src/main/java/org/sang/config/MyMVCConfig.java,https://stackoverflow.com/a/52148106,SKIPPED,"The matched Stack Overflow revision only removes Markdown backticks around the Java code block. The repository file already contains ordinary Java source without those backticks, so there is no applicable code change or test to submit."
3,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/1520212/1520212_2_recent.java,https://github.com/ibmruntimes/openj9-openjdk-jdk11/blob/openj9/test/jdk/javax/net/ssl/DTLS/DTLSSequenceNumberTest.java,https://stackoverflow.com/a/1520212,SKIPPED,"The target already uses the latest Stack Overflow revision's corrected loop bound (i > 0). Its RandomFactory.getRandom() call intentionally provides a logged, reproducible seed for the OpenJDK regression test; replacing it with ThreadLocalRandom.current() would bypass that test infrastructure and make failures harder to reproduce."
4,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10195366/10195366_2_recent.java,https://github.com/spring-projects/sts4/blob/main/headless-services/spring-boot-language-server/src/test/resources/test-projects/test-xml-hyperlinks/src/main/java/u/t/r/HomeController.java,https://stackoverflow.com/a/10195366,SKIPPED,"The repository file contains only the Stack Overflow answer's first home handler, which is unchanged between revisions. The latest revision only renames a separate /serverTime handler from home to serverTime, but that handler does not exist in the target file, so there is no applicable change or test to submit."
5,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/42681543/42681543_4_recent.java,https://github.com/apache/rocketmq/blob/develop/proxy/src/main/java/org/apache/rocketmq/proxy/remoting/protocol/http2proxy/Http2ProxyFrontendHandler.java,https://stackoverflow.com/a/42681543,SKIPPED,"The latest Stack Overflow revision replaces an empty Netty Bootstrap handler with new DiscardServerHandler() for a separate third outbound connection. The matched RocketMQ file has never contained that bootstrap, third connection, empty handler call, or DiscardServerHandler; it is a single-outbound-channel HTTP/2 forwarding handler. Applying the recommendation would therefore require unrelated architecture rather than preserving the Stack Overflow edit."
6,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/64804977/64804977_2_recent.java,https://github.com/vipshop/pallas/blob/develop/pallas-core/src/test/java/com/vip/pallas/thread/ExtendableThreadPoolExecutorTest.java,https://stackoverflow.com/a/64804977,SKIPPED,"The mapped Stack Overflow block (block 2) is byte-for-byte identical in the original and latest revisions, so it contains no recommendation to apply. The answer's only edited block adds Android runOnUiThread handling around randomNote(), whereas the matched Pallas file is a non-Android JUnit test of a thread-pool executor and contains no Handler, UI thread, or randomNote() call."
7,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/58993471/58993471_2_recent.java,https://github.com/shulietech/linkagent/blob/main/instrument-modules/user-modules/module-pradar-core/src/main/java/com/pamirs/pradar/common/ByteUtils.java,https://stackoverflow.com/a/58993471,SKIPPED,"The only code shared by the Stack Overflow answer and ByteUtils is the byte2hex helper, and LinkAgent already matches the latest revision exactly; Git history shows that helper has been unchanged since the repository's first commit. The answer's substantive edits add complete four- and five-party Diffie-Hellman demo programs, which are unrelated to this general-purpose byte utility and cannot be applied faithfully."
8,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/24127188/24127188_2_recent.java,https://github.com/google/gson/blob/main/gson/src/main/java/com/google/gson/Gson.java,https://stackoverflow.com/a/24127188,SKIPPED,"The Stack Overflow edit fixes use of an uninitialized local by assigning name = constant.name() before looking up @SerializedName. Gson's enum handling has moved from Gson.java to internal/bind/EnumTypeAdapter.java, where the current implementation already initializes name from constant.name() before reading the annotation and uses the enum Field directly. Adding the answer's separate classPrefix customization would change Gson's serialized enum format rather than apply the bug fix."
9,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/58993471/58993471_2_recent.java,https://github.com/corretto/corretto-8/blob/develop/jdk/test/sun/security/pkcs11/tls/TestLeadingZeroesP11.java,https://stackoverflow.com/a/58993471,SKIPPED,"The only code shared with the Stack Overflow answer is the byte2hex/toHexString formatting helper, and Corretto already matches the latest answer's helper; blame shows it has been unchanged since the test was introduced in 2013. The answer's substantive edits replace a four-party Diffie-Hellman demo and add a five-party demo, whereas this is an intentional two-party PKCS#11 regression test for stripping leading zeroes. Applying those demos would be unrelated, and Corretto's PR template directs non-Corretto-specific OpenJDK changes upstream."
10,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/29866762/29866762_2_89013107.java,https://github.com/corretto/corretto-11/blob/develop/src/java.base/share/classes/java/util/TimSort.java,https://stackoverflow.com/a/29866762,SKIPPED,"The selected recommendation file is byte-for-byte identical to its original Stack Overflow block, so it contains no edit to apply. Corretto's TimSort.sort implementation already contains the same algorithm; only inconsequential whitespace differs."
11,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/28039909/28039909_2_recent.java,https://github.com/googlesamples/io2015-codelabs/blob/master/geofence/GeoFenceCodeLab/app/src/main/java/com/lmoroney/geofencecodelab/MainActivity.java,https://stackoverflow.com/a/28039909,SKIPPED,"The latest Stack Overflow revision adds buildGoogleApiClient() after setContentView(). The codelab's MainActivity already calls buildGoogleApiClient() from onCreate after initializing its button and geofence list, which is the required ordering for this complete application, so the recommendation is already present."
12,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/20765715/20765715_2_recent.java,https://github.com/jfxtras/jfxtras/blob/17/jfxtras-icalendarfx/src/main/java/jfxtras/icalendarfx/properties/component/recurrence/rrule/RecurrenceRuleValue.java,https://stackoverflow.com/a/20765715,SKIPPED,"The Stack Overflow edit adds the Stream overload of takeWhile. RecurrenceRuleValue already contains that overload verbatim immediately after the Spliterator overload and uses it for recurrence processing, so no code or test change remains."
13,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/33561612/33561612_2_recent.java,https://github.com/strapdata/elassandra/blob/v6.8.4-strapdata/server/src/test/java/org/elasticsearch/cluster/service/TaskExecutorTests.java,https://stackoverflow.com/a/33561612,SKIPPED,"The Stack Overflow edit changes a standalone odd/even SynchronousQueue example to increment i before re-enqueuing it and adds a second termination check. TaskExecutorTests contains no SynchronousQueue, integer handoff loop, queue.put call, or equivalent construct; it tests Elasticsearch cluster-state task execution, so the recommendation cannot be applied faithfully."
14,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/22918204/22918204_2_recent.java,https://github.com/open-hand/choerodon-starters/blob/master/choerodon-gitlab4j-api/src/main/java/org/gitlab4j/api/utils/JacksonJson.java,https://stackoverflow.com/a/22918204,https://github.com/open-hand/choerodon-starters/pull/45,
15,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/34590765/34590765_4_recent.java,https://github.com/ldoublem/loadingview/blob/master/loadingviewlib/src/main/java/com/ldoublem/loadingviewlib/LVSunSetView.java,https://stackoverflow.com/a/34590765,SKIPPED,The selected Stack Overflow block is unchanged between the original and latest revisions and only shows attaching RectProgressDrawable to a ProgressBar. LVSunSetView is a separate custom sunset View with no ProgressBar or RectProgressDrawable; the answer's substantive drawable rewrite is in another block and does not map to this class.
16,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/41251473/41251473_6_recent.java,https://github.com/zhou-you/rxeasyhttp/blob/master/rxeasyhttp/src/main/java/com/zhouyou/http/body/RequestBodyUtils.java,https://stackoverflow.com/a/41251473,SKIPPED,"The Stack Overflow edit replaces an InputStream-based helper with an Android ParcelFileDescriptor-based helper. RxEasyHttp's public RequestBodyUtils.create method is specifically called by BaseBodyRequest for InputStream file wrappers; replacing its parameter would break that supported path, while adding a separate overload would not be the recommended replacement and has no caller in the project."
17,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/56259221/56259221_5_recent.java,https://github.com/camunda-consulting/code/blob/main/one-time-examples/fitnesse-dmn/camunda-dmn-fitnesse-fixture/src/main/java/com/camunda/demo/dmntraining/taskrouting/fitnesse/SysoutClasspath.java,https://stackoverflow.com/a/56259221,SKIPPED,"The only edit in the selected Stack Overflow block adds imports for URL and URLClassLoader. SysoutClasspath already has both imports and uses both classes, so the recommendation is already fully present."
18,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/20276324/20276324_2_recent.java,https://github.com/cymcsg/ultimateandroid/blob/master/deprecated/UltimateAndroidGradle/demoofui/src/main/java/com/marshalchen/common/demoofui/jsoup/UtilsDemoActivity.java,https://stackoverflow.com/a/20276324,SKIPPED,"The Stack Overflow edits log a selected Elements collection and later store elem.text() in a story list. UtilsDemoActivity's Jsoup task only retrieves a document title and contains no elem, Elements selection, story collection, or equivalent code, so there is no applicable change."
19,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/34717151/34717151_4_recent.java,https://github.com/eugenp/tutorials/blob/master/libraries-server/src/main/java/com/baeldung/netty/NettyServer.java,https://stackoverflow.com/a/34717151,SKIPPED,"The selected Stack Overflow block, allChannels.writeAndFlush(getOut), is unchanged between revisions. The answer's actual edit changes a ChannelFuture listener to ChannelGroupFuture for a console broadcast loop, but Baeldung's NettyServer has no ChannelGroup, console loop, getOut buffer, or matching listener."
20,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/54298032/54298032_2_recent.java,https://github.com/puniverse/quasar/blob/master/quasar-core/src/main/java/co/paralleluniverse/fibers/instrument/QuasarInstrumentor.java,https://stackoverflow.com/a/54298032,SKIPPED,"The shared copy(InputStream, OutputStream) loop is already implemented in QuasarInstrumentor. The latest answer only adds thread labels, progress printing, and file/pipe orchestration to a standalone PDF-copy demonstration; adding those parameters and console output to Quasar's internal bytecode utility would be unrelated and would introduce noisy instrumentation output."
21,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/60816572/60816572_2_recent.java,https://github.com/icyphy/ptii/blob/master/edu/umich/eecs/april/jmat/LinAlg.java,https://stackoverflow.com/a/60816572,SKIPPED,"The selected Stack Overflow code block is unchanged between revisions; the only answer edit is prose recommending PascalCase class names and camelCase members. LinAlg's matched transpose method is already camelCase and its established class name is PascalCase, so no code change remains."
22,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/13462440/13462440_4_recent.java,https://github.com/alibaba/dragonwell8/blob/master/jdk/src/share/demo/jfc/SwingApplet/SwingApplet.java,https://stackoverflow.com/a/13462440,SKIPPED,"The selected edit only inserts the placeholder comment //create UI here inside invokeAndWait. Dragonwell's SwingApplet already calls initUI() there, which constructs and lays out the actual Swing UI; replacing or preceding working code with the placeholder would not improve it."
23,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/41842039/41842039_4_recent.java,https://github.com/alibaba/atlas/blob/master/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/tpatch/utils/PathUtils.java,https://stackoverflow.com/a/41842039,SKIPPED,"The selected Stack Overflow block changes only an illustrative malformed file URL string. The substantive answer fix moves decode() inside the file-protocol branch, and PathUtils.basedir already has exactly that control flow, so no applicable code change remains."
24,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/28039909/28039909_4_recent.java,https://github.com/klinker24/talon-for-twitter-android/blob/master/app/src/main/java/com/klinker/android/twitter_l/activities/compose/Compose.java,https://stackoverflow.com/a/28039909,SKIPPED,"The selected Stack Overflow block is unchanged between revisions. The answer's actual edit adds buildGoogleApiClient() to onCreate, and Compose already calls buildGoogleApiClient() after initializing its views and state; additionally, the repository is archived and read-only."
25,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10195366/10195366_2_recent.java,https://github.com/xwjie/plmcodetemplate/blob/master/javasource-springboot/src/main/java/cn/xiaowenjie/codetemplate/controllers/HomeController.java,https://stackoverflow.com/a/10195366,SKIPPED,"The Stack Overflow edit renames a separate /serverTime handler from home to serverTime. This HomeController has a home handler and login endpoint but no /serverTime handler, so the renamed method is absent and there is no faithful change to apply."
26,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10195366/10195366_2_recent.java,https://github.com/webjournal/journaldev/blob/master/Spring/Spring-Controller/src/main/java/com/journaldev/spring/controller/HomeController.java,https://stackoverflow.com/a/10195366,SKIPPED,"The Stack Overflow edit renames a separate /serverTime handler from home to serverTime. JournalDev's controller contains only the original home handler and no /serverTime method, so there is no applicable change."
27,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/45774144/45774144_2_recent.java,https://github.com/ibmruntimes/openj9-openjdk-jdk8/blob/openj9/jdk/src/share/classes/javax/swing/plaf/metal/MetalTabbedPaneUI.java,https://stackoverflow.com/a/45774144,SKIPPED,"The selected Stack Overflow block is unchanged; the answer's edited block customizes a rounded AbstractButton background based on pressed and rollover states. MetalTabbedPaneUI.update paints the tab-area background of a tabbed pane, not an AbstractButton, so casting it and applying button-state behavior would be incorrect."
28,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/33943576/33943576_2_recent.java,https://github.com/eugenp/tutorials/blob/master/core-java-modules/core-java-date-operations-2/src/main/java/com/baeldung/skipweekends/AddSubtractDaysSkippingWeekendsUtils.java,https://stackoverflow.com/a/33943576,SKIPPED,"The selected latest block is only the body fragment of the original add method after its method declaration and guard were removed, so it is not a standalone applicable revision. The answer's separate new getAllDays helper returns a day count, whereas Baeldung's utility intentionally returns LocalDate values and supports separate addition and subtraction methods."
29,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/29575747/29575747_2_recent.java,https://github.com/matsim-org/matsim-libs/blob/main/contribs/pseudosimulation/src/main/java/org/matsim/contrib/pseudosimulation/distributed/io/SimpleFileServer.java,https://stackoverflow.com/a/29575747,SKIPPED,"The answer replaces a generic file server with a Windows-specific demonstration that creates and sends a hard-coded ZIP file, changes the port and package, and requires a matching rewritten client. MATSim's server intentionally sends its simulation input file using the existing protocol; applying the demo would break that project-specific behavior rather than improve it."
30,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/29866762/29866762_2_89013107.java,https://github.com/alibaba/dragonwell8/blob/master/jdk/src/share/classes/java/util/TimSort.java,https://stackoverflow.com/a/29866762,SKIPPED,"The selected recommendation file is byte-for-byte identical to its original Stack Overflow block. Dragonwell's TimSort.sort already contains the same algorithm, with only formatting differences, so there is no recommendation to apply."
